nr_qubits,exp_type 1,exp_type 2,backend 1,backend 2,circuit 1,circuit 2,corr avg,cosine d,manhatt d,mse,euclidean d,norm manhatt d,norm mse,norm euclidean d
8,Simulated,Simulated,brisbane,marrakesh,2,2,0.9652072650218185,0.034329007833060365,730.3000000000001,568.3095617187502,381.42790642531656,0.7363978144157478,0.5537860737149716,0.26202674608925
8,Simulated,Simulated,torino,fez,2,2,0.9590637961736398,0.04042962014249063,907.3399999999997,1047.413453125,517.820281564946,0.6550277867059877,0.8498362136232218,0.28435759227596
8,Simulated,Simulated,torino,marrakesh,2,2,0.9207492307453888,0.07825920401410014,744.38,750.0867429687497,438.20338451454245,0.8565758260571885,0.6085952740359376,0.39562407412618456
8,Simulated,Simulated,fez,marrakesh,2,2,0.9584151999204001,0.041046025278832166,169.29999999999995,34.81449218749999,94.4060909051953,0.6889395269167525,4.229230338359874,0.28651710342955816
8,Simulated,Simulated,brisbane,torino,3,3,0.9928404422844459,0.007061266277258116,249.8,70.25800781250005,134.112079992818,0.3194256999444339,0.20767725412202653,0.11883826216550128
8,Simulated,Simulated,brisbane,fez,3,3,0.9677386816866289,0.03183108562092962,510.05999999999995,286.83529609375,270.9794010621472,0.6310849027258688,0.8478630199279592,0.25231363665457984
8,Simulated,Simulated,brisbane,marrakesh,3,3,0.9871470559564945,0.012675801500665052,419.98,195.700890625,223.8290150985792,0.41383881401143113,0.5784767439278865,0.15922186722096146
8,Simulated,Simulated,torino,fez,3,3,0.9670365191920073,0.03252457707075129,260.26000000000005,76.01220156249997,139.49596266559112,0.614134933280178,0.7349039252253772,0.2550473566644111
8,Simulated,Simulated,torino,marrakesh,3,3,0.9750304772720618,0.02462733943395956,178.92,34.637320312499995,94.16556695523049,0.559627388187284,0.33488179704958065,0.22193395158902338
8,Simulated,Simulated,fez,marrakesh,3,3,0.9700322602264795,0.02956878412066677,90.10000000000002,9.217558593750004,48.57669194171213,0.5619303619205231,4.047582046173102,0.24318217089526373
8,Refreshed_Simulated,Refreshed_Simulated,brisbane,torino,1,1,0.9237669731394292,0.07526512087864501,770.52,467.19946250000004,345.83675686658876,0.8884755436050596,0.36129336923204586,0.38798226990068785
8,Refreshed_Simulated,Refreshed_Simulated,brisbane,fez,1,1,0.9814747968678595,0.018274168101321542,848.2800000000001,767.1739679687502,443.1664876770355,0.5720048445189524,0.5932688068418901,0.19117619151621087
8,Refreshed_Simulated,Refreshed_Simulated,brisbane,marrakesh,1,1,0.9406537202373532,0.05857325394107937,874.9599999999999,732.2028796875001,432.94796130712984,0.9351299733932136,0.5662250635909137,0.3422667203836197
8,Refreshed_Simulated,Refreshed_Simulated,torino,fez,1,1,0.8999729515976559,0.09875967148122466,274.58,92.59654218749999,153.9633553804281,0.9351042316449497,0.33911722591086596,0.4444314828659749
8,Refreshed_Simulated,Refreshed_Simulated,torino,marrakesh,1,1,0.8815188435977678,0.11701117567723851,302.25999999999993,84.43582890625,147.02235272229865,0.9785986294441177,0.3092301655086791,0.4837585672155865
8,Refreshed_Simulated,Refreshed_Simulated,fez,marrakesh,1,1,0.9348486759885967,0.06430813401573499,135.2,11.96014453125,55.33350702783983,0.8164536706735355,0.16695911532717916,0.3586311029895077
8,Refreshed_Simulated,Refreshed_Simulated,brisbane,torino,2,2,0.9348836890106442,0.0642703951273621,738.3599999999999,425.11286484374995,329.8922451346803,0.9278099948343834,0.314536671742461,0.3585258571633622
8,Refreshed_Simulated,Refreshed_Simulated,brisbane,fez,2,2,0.9757364729829475,0.023934619742981722,878.6199999999999,819.7512757812497,458.100782142969,0.6426675005392065,0.6065256059367674,0.21879040080854625
8,Refreshed_Simulated,Refreshed_Simulated,brisbane,marrakesh,2,2,0.9124236880856956,0.08643491558380734,923.7400000000001,808.1741609374999,454.85446595587035,1.214238629618075,0.5979598167723494,0.4157761791728989
8,Refreshed_Simulated,Refreshed_Simulated,torino,fez,2,2,0.9029960160586439,0.09575159632824182,340.97999999999996,129.10640546874995,181.79999944994495,1.05082278946234,0.38256531779967273,0.4376107775826408
8,Refreshed_Simulated,Refreshed_Simulated,torino,marrakesh,2,2,0.9516131177212517,0.04778024882285814,330.76,96.86288515624997,157.47031021751368,0.6870746051621733,0.28702201341794326,0.3091286102024784
8,Refreshed_Simulated,Refreshed_Simulated,fez,marrakesh,2,2,0.9117619064403154,0.0871029219648275,156.64,14.781977343749997,61.51573944934743,1.046471133164913,0.20993339757955595,0.4173797358876635
8,Refreshed_Simulated,Refreshed_Simulated,brisbane,torino,3,3,0.9819209145398752,0.017830431117236367,286.87999999999994,91.62349609374998,153.152260838683,0.42947620401970754,0.3242551407732094,0.18884083836520377
8,Refreshed_Simulated,Refreshed_Simulated,brisbane,fez,3,3,0.9579053115280484,0.04154539849252992,413.0,183.20834374999993,216.56716279251566,0.8216051441362365,0.648373504899854,0.2882547432134624
8,Refreshed_Simulated,Refreshed_Simulated,brisbane,marrakesh,3,3,0.840678512366055,0.15743418214036808,408.74000000000007,92.72327890624999,154.06868403410212,1.435318922611795,0.3281472672024635,0.5611313253425937
8,Refreshed_Simulated,Refreshed_Simulated,torino,fez,3,3,0.9296418983348782,0.06943370889371459,147.9,19.7535609375,71.11196523792603,0.9595408787642755,0.35355859980013005,0.37264918863111574
8,Refreshed_Simulated,Refreshed_Simulated,torino,marrakesh,3,3,0.902636313729328,0.09624162983428719,190.0,27.280308593749997,83.56888775136355,1.1359607165131405,0.4882758981552211,0.4387291415766385
8,Refreshed_Simulated,Refreshed_Simulated,fez,marrakesh,3,3,0.8051246665214062,0.19259872125664568,241.84000000000003,69.68463281249998,133.56371513251645,1.2059065150353434,5.842308938812263,0.6206427656174611
